iter	RMSE
0	14.14366475
1	13.3701015
2	12.58134391
3	11.88487057
4	11.36036551
5	10.81146902
6	10.26963432
7	9.795768722
8	9.389674616
9	9.001724475
10	8.653322546
11	8.362840729
12	8.120785592
13	7.851278672
14	7.633131058
15	7.419337049
16	7.251551535
17	7.114558325
18	6.968961464
19	6.839129258
20	6.701880175
21	6.586261045
22	6.482211281
23	6.392286939
24	6.307797698
25	6.236205556
26	6.182264983
27	6.117569166
28	6.050158282
29	6.004955803
30	5.954520152
31	5.92216471
32	5.878156553
33	5.834235556
34	5.801109653
35	5.769947505
36	5.730458558
37	5.707105146
38	5.676663625
39	5.652609712
40	5.642185527
41	5.607213879
42	5.586531471
43	5.569389387
44	5.550350714
45	5.533476425
46	5.507770405
47	5.492384285
48	5.477938778
49	5.466890852
50	5.450956179
51	5.436252224
52	5.429366277
53	5.420187343
54	5.407007988
55	5.399564774
56	5.394450614
57	5.380279391
58	5.367680727
59	5.364313135
60	5.352674655
61	5.347215216
62	5.341483728
63	5.332541429
64	5.325865056
65	5.321873317
66	5.319356599
67	5.307075882
68	5.303921191
69	5.29463379
70	5.288409793
71	5.274001415
72	5.262759558
73	5.2587635
74	5.255718175
75	5.247222765
76	5.242694519
77	5.237637058
78	5.226751043
79	5.218934894
80	5.208117927
81	5.202925991
82	5.199312069
83	5.191817274
84	5.181310834
85	5.180628147
86	5.170504778
87	5.165409966
88	5.162665153
89	5.159562413
90	5.156282549
91	5.152472031
92	5.147107966
93	5.146565867
94	5.14199914
95	5.138023824
96	5.137527047
97	5.135194421
98	5.127196956
99	5.126355764
