iter	Passed	Remaining
0	144	144847
1	146	72990
2	147	49061
3	149	37105
4	150	29948
5	152	25182
6	153	21762
7	154	19177
8	156	17195
9	157	15583
10	158	14255
11	159	13145
12	160	12206
13	162	11411
14	163	10719
15	164	10107
16	165	9568
17	166	9089
18	167	8661
19	169	8282
20	170	7940
21	171	7624
22	172	7331
23	173	7064
24	174	6822
25	176	6596
26	177	6379
27	178	6185
28	179	6004
29	180	5832
30	181	5678
31	182	5531
32	184	5396
33	185	5264
34	186	5143
35	187	5029
36	188	4918
37	190	4812
38	191	4711
39	192	4615
40	193	4529
41	194	4443
42	195	4360
43	197	4281
44	198	4215
45	200	4149
46	201	4080
47	202	4014
48	203	3949
49	204	3890
50	205	3832
51	207	3775
52	208	3719
53	209	3666
54	210	3615
55	211	3571
56	213	3524
57	214	3478
58	215	3433
59	216	3390
60	217	3353
61	219	3313
62	220	3275
63	221	3237
64	222	3199
65	223	3164
66	224	3132
67	226	3099
68	227	3067
69	228	3035
70	229	3004
71	230	2972
72	232	2946
73	233	2919
74	234	2895
75	236	2870
76	237	2846
77	238	2821
78	239	2797
79	241	2772
80	242	2750
81	243	2727
82	244	2704
83	245	2681
84	246	2658
85	248	2637
86	249	2618
87	250	2597
88	251	2576
89	253	2561
90	254	2545
91	256	2527
92	257	2508
93	258	2490
94	259	2472
95	260	2455
96	262	2441
97	263	2423
98	264	2406
99	265	2389
100	267	2378
101	268	2363
102	269	2346
103	270	2330
104	271	2316
105	273	2303
106	274	2291
107	275	2277
108	276	2262
109	278	2249
110	279	2235
111	280	2225
112	281	2213
113	283	2200
114	284	2187
115	285	2175
116	286	2165
117	288	2153
118	289	2140
119	290	2130
120	291	2119
121	293	2112
122	294	2100
123	295	2089
124	296	2078
125	297	2065
126	298	2054
127	300	2043
128	300	2030
129	301	2020
130	302	2009
131	303	1997
132	305	1988
133	306	1978
134	307	1970
135	308	1961
136	310	1953
137	311	1945
138	312	1937
139	313	1928
140	315	1919
141	316	1911
142	317	1903
143	318	1895
144	319	1886
145	321	1880
146	322	1874
147	323	1864
148	324	1856
149	326	1847
150	327	1839
151	328	1833
152	329	1826
153	331	1818
154	332	1810
155	333	1802
156	334	1797
157	336	1791
158	337	1784
159	338	1776
160	339	1768
161	340	1762
162	341	1754
163	342	1748
164	344	1741
165	345	1734
166	346	1727
167	347	1722
168	349	1716
169	350	1710
170	351	1703
171	352	1697
172	354	1692
173	355	1686
174	356	1679
175	357	1673
176	358	1667
177	359	1662
178	361	1656
179	362	1651
180	363	1645
181	365	1641
182	366	1636
183	367	1630
184	368	1624
185	370	1619
186	371	1613
187	372	1608
188	373	1603
189	374	1597
190	375	1591
191	376	1583
192	377	1578
193	378	1574
194	380	1568
195	381	1563
196	382	1557
197	382	1551
198	384	1546
199	385	1542
200	386	1537
201	387	1532
202	388	1526
203	390	1523
204	391	1519
205	392	1514
206	394	1509
207	395	1504
208	396	1500
209	397	1496
210	398	1491
211	399	1486
212	401	1482
213	402	1477
214	403	1473
215	404	1469
216	406	1465
217	407	1460
218	408	1456
219	409	1452
220	410	1447
221	411	1443
222	412	1438
223	414	1434
224	415	1430
225	416	1426
226	417	1422
227	419	1418
228	420	1414
229	421	1411
230	422	1407
231	423	1403
232	424	1398
233	426	1394
234	427	1391
235	428	1387
236	429	1383
237	430	1379
238	431	1375
239	433	1371
240	434	1367
241	435	1364
242	436	1360
243	437	1356
244	438	1352
245	440	1349
246	441	1345
247	442	1341
248	443	1337
249	444	1334
250	446	1331
251	447	1327
252	448	1323
253	449	1319
254	450	1316
255	451	1312
256	453	1309
257	454	1306
258	455	1302
259	456	1298
260	457	1295
261	458	1291
262	459	1288
263	460	1285
264	462	1281
265	463	1278
266	464	1274
267	465	1271
268	466	1267
269	467	1264
270	468	1260
271	469	1257
272	470	1254
273	472	1250
274	473	1247
275	474	1244
276	475	1240
277	476	1237
278	477	1234
279	478	1230
280	479	1227
281	480	1224
282	481	1221
283	483	1218
284	484	1215
285	485	1212
286	486	1209
287	488	1206
288	489	1203
289	490	1200
290	491	1197
291	492	1194
292	493	1191
293	494	1188
294	496	1185
295	497	1182
296	498	1179
297	499	1176
298	500	1173
299	501	1170
300	502	1167
301	504	1165
302	505	1162
303	506	1159
304	507	1156
305	508	1153
306	509	1150
307	510	1147
308	511	1144
309	513	1141
310	514	1139
311	515	1136
312	516	1134
313	518	1131
314	519	1129
315	521	1127
316	522	1125
317	523	1123
318	524	1120
319	526	1118
320	527	1115
321	528	1113
322	529	1110
323	531	1108
324	532	1106
325	533	1103
326	535	1101
327	536	1098
328	537	1096
329	538	1093
330	539	1090
331	540	1088
332	541	1085
333	543	1083
334	544	1080
335	545	1078
336	546	1075
337	547	1072
338	548	1070
339	549	1067
340	551	1065
341	552	1062
342	553	1059
343	554	1057
344	555	1054
345	556	1052
346	558	1050
347	559	1047
348	560	1045
349	561	1042
350	562	1040
351	563	1037
352	564	1035
353	565	1032
354	566	1030
355	568	1027
356	569	1025
357	570	1022
358	571	1020
359	572	1018
360	574	1016
361	575	1014
362	576	1011
363	577	1009
364	579	1007
365	580	1005
366	581	1003
367	583	1001
368	584	1000
369	586	998
370	587	996
371	589	994
372	591	993
373	592	992
374	594	990
375	596	990
376	600	991
377	601	990
378	603	988
379	604	986
380	605	984
381	607	983
382	609	981
383	610	978
384	611	976
385	612	974
386	614	972
387	615	970
388	616	968
389	617	966
390	618	963
391	619	961
392	620	959
393	622	956
394	623	954
395	624	952
396	625	950
397	626	947
398	628	946
399	629	943
400	630	941
401	631	939
402	632	937
403	633	935
404	634	932
405	636	930
406	637	928
407	638	926
408	639	924
409	641	922
410	642	921
411	644	919
412	645	918
413	647	916
414	648	914
415	650	912
416	651	910
417	652	909
418	654	907
419	655	905
420	657	903
421	658	902
422	660	900
423	661	898
424	662	896
425	663	894
426	664	892
427	666	890
428	667	888
429	668	886
430	669	884
431	671	882
432	672	880
433	673	878
434	674	876
435	676	874
436	677	872
437	678	870
438	679	868
439	680	866
440	682	864
441	683	862
442	684	860
443	685	858
444	687	856
445	688	854
446	689	852
447	690	850
448	691	848
449	692	846
450	693	844
451	694	842
452	696	840
453	697	838
454	698	836
455	699	835
456	701	833
457	702	831
458	703	829
459	704	827
460	705	825
461	706	823
462	707	821
463	709	819
464	710	817
465	711	815
466	712	813
467	713	811
468	714	809
469	716	807
470	717	805
471	718	803
472	719	801
473	720	799
474	721	797
475	722	795
476	723	793
477	725	791
478	726	789
479	727	787
480	728	785
481	729	783
482	730	781
483	731	780
484	732	778
485	733	776
486	734	774
487	736	772
488	737	770
489	738	768
490	739	766
491	740	764
492	741	762
493	742	760
494	744	759
495	745	757
496	746	755
497	747	753
498	748	751
499	749	749
500	750	747
501	751	745
502	753	744
503	754	742
504	755	740
505	756	738
506	757	736
507	758	734
508	759	732
509	760	731
510	762	729
511	763	727
512	764	725
513	765	723
514	766	721
515	767	720
516	768	718
517	769	716
518	771	714
519	772	712
520	773	710
521	774	709
522	775	707
523	776	705
524	777	703
525	778	701
526	779	700
527	781	698
528	782	696
529	783	694
530	784	693
531	785	691
532	786	689
533	788	687
534	789	685
535	790	684
536	791	682
537	792	680
538	793	678
539	794	677
540	796	675
541	797	673
542	798	672
543	799	670
544	801	668
545	802	666
546	803	665
547	804	663
548	805	661
549	806	660
550	807	658
551	809	656
552	810	655
553	811	653
554	812	651
555	813	649
556	814	648
557	815	646
558	817	644
559	818	642
560	819	641
561	820	639
562	821	637
563	822	635
564	823	634
565	825	632
566	826	630
567	827	629
568	828	627
569	829	625
570	830	624
571	831	622
572	832	620
573	833	618
574	834	617
575	836	615
576	837	613
577	838	612
578	839	610
579	840	608
580	841	607
581	842	605
582	844	603
583	845	602
584	846	600
585	847	598
586	848	597
587	849	595
588	850	593
589	852	592
590	853	590
591	854	589
592	855	587
593	857	585
594	858	584
595	859	582
596	860	580
597	861	579
598	862	577
599	863	575
600	865	574
601	866	572
602	867	571
603	868	569
604	869	567
