iter	Passed	Remaining
0	0	931
1	1	855
2	2	812
3	3	782
4	3	789
5	4	802
6	5	788
7	6	773
8	6	770
9	7	764
10	8	765
11	9	768
12	10	762
13	10	760
14	11	759
15	12	751
16	12	744
17	13	741
18	14	739
19	15	738
20	15	736
21	16	738
22	17	737
23	18	741
24	18	740
25	19	737
26	20	734
27	21	735
28	21	735
29	22	735
30	23	733
31	24	731
32	24	730
33	25	728
34	26	725
35	27	724
36	27	723
37	28	721
38	29	721
39	29	719
40	30	717
41	31	717
42	32	718
43	33	718
44	33	717
45	34	715
46	35	715
47	36	714
48	36	712
49	37	710
50	38	708
51	38	707
52	39	708
53	40	709
54	41	709
55	42	710
56	42	708
57	43	707
58	44	705
59	45	706
60	46	708
61	46	709
62	47	710
63	48	709
64	49	708
65	49	707
66	50	706
67	51	706
68	52	708
69	53	709
70	54	711
71	55	710
72	55	709
73	56	708
74	57	707
75	58	706
76	59	707
77	60	711
78	60	710
79	61	708
80	62	706
81	62	704
82	63	699
83	63	697
84	64	697
85	65	697
86	66	697
87	67	695
88	67	694
89	68	692
90	69	690
91	69	689
92	70	688
93	71	687
94	72	685
95	72	686
96	73	684
97	74	683
98	74	681
99	75	679
100	76	678
101	76	676
102	77	674
103	78	673
104	78	671
105	79	669
106	80	667
107	80	666
108	81	664
109	81	663
110	82	662
111	83	660
112	84	659
113	84	658
114	85	656
115	85	654
116	86	654
117	87	653
118	88	652
119	88	652
120	89	651
121	90	649
122	90	648
123	91	646
124	92	645
125	92	644
126	93	642
127	94	640
128	94	640
129	95	640
130	96	638
131	96	637
132	97	636
133	98	635
134	98	633
135	99	632
136	100	630
137	101	635
138	102	634
139	103	634
140	104	634
141	104	631
142	105	630
143	105	629
144	106	629
145	107	629
146	108	628
147	109	629
148	110	629
149	110	628
150	111	628
151	112	627
152	113	626
153	113	625
154	114	626
155	115	625
156	116	624
157	117	623
158	117	623
159	118	622
160	119	621
161	120	621
162	121	621
163	121	620
164	122	620
165	123	618
166	123	618
167	124	617
168	125	616
169	126	615
170	126	614
171	128	616
172	128	615
173	129	614
174	130	613
175	130	612
176	131	611
177	132	610
178	132	609
179	133	608
180	134	607
181	135	606
182	135	605
183	136	604
184	137	603
185	137	603
186	138	602
187	139	601
188	139	600
189	140	599
190	141	599
191	142	598
192	143	598
193	143	597
194	144	596
195	145	596
196	146	595
197	146	594
198	147	593
199	147	591
200	148	590
201	149	589
202	150	589
203	150	588
204	151	587
205	152	586
206	152	585
207	153	583
208	153	582
209	154	581
210	155	581
211	156	580
212	156	579
213	157	578
214	158	577
215	158	576
216	159	575
217	160	574
218	160	573
219	161	572
220	162	572
221	163	571
222	163	570
223	164	569
224	164	568
225	165	567
226	166	565
227	166	564
228	167	563
229	168	563
230	168	562
231	169	561
232	170	560
233	171	559
234	171	559
235	172	558
236	173	556
237	173	555
238	174	555
239	175	554
240	176	554
241	176	553
242	177	552
243	178	551
244	178	550
245	179	549
246	179	548
247	180	547
248	181	546
249	182	546
250	182	545
251	183	545
252	184	544
253	184	543
254	185	542
255	186	541
256	187	540
257	187	539
258	188	538
259	188	537
260	189	536
261	190	535
262	190	534
263	191	533
264	192	532
265	192	532
266	193	531
267	194	530
268	195	530
269	196	530
270	196	529
271	197	528
272	198	528
273	199	528
274	200	527
275	200	526
276	201	525
277	202	525
278	202	524
279	203	523
280	204	522
281	204	521
282	205	521
283	206	520
284	207	519
285	207	519
286	208	518
287	209	518
288	210	517
289	211	517
290	211	516
291	212	515
292	213	514
293	213	513
294	214	512
295	215	512
296	215	511
297	216	510
298	217	509
299	218	509
300	219	509
301	219	508
302	220	507
303	221	506
304	221	505
305	222	505
306	223	504
307	224	503
308	224	503
309	225	502
310	226	501
311	227	500
312	227	499
313	228	499
314	229	498
315	230	498
316	230	497
317	231	496
318	232	495
319	232	494
320	233	493
321	234	492
322	234	491
323	235	491
324	236	490
325	237	490
326	237	489
327	238	488
328	239	487
329	239	486
330	240	485
331	241	485
332	241	484
333	242	483
334	243	482
335	243	481
336	244	481
337	245	480
338	245	479
339	246	478
340	247	477
341	247	476
342	248	475
343	249	475
344	249	474
345	250	473
346	251	472
347	251	471
348	252	470
349	253	469
350	253	469
351	254	468
352	255	467
353	255	466
354	256	465
355	256	464
356	257	463
357	258	462
358	258	461
359	259	461
360	259	460
361	260	459
362	261	458
363	261	457
364	262	456
365	263	455
366	263	454
367	264	454
368	265	453
369	265	452
370	266	451
371	267	451
372	267	450
373	268	449
374	269	448
375	269	447
376	270	446
377	270	445
378	271	444
379	272	444
380	272	443
381	273	442
382	274	441
383	274	440
384	275	439
385	275	438
386	276	437
387	277	436
388	277	436
389	278	435
390	279	434
391	279	433
392	280	433
393	280	432
394	281	431
395	282	430
396	282	429
397	283	428
398	283	427
399	284	426
400	285	425
401	285	425
402	286	424
403	287	423
404	287	422
405	288	421
406	288	420
407	289	420
408	290	419
409	291	419
410	291	418
411	292	417
412	293	417
413	294	416
414	294	415
415	295	414
416	296	414
417	296	413
418	297	412
419	298	411
420	298	410
421	299	410
422	300	409
423	300	408
424	301	407
425	301	406
426	302	405
427	303	404
428	303	404
429	304	403
430	304	402
431	305	401
432	306	401
433	306	400
434	307	399
435	308	398
436	308	397
437	309	397
438	310	396
439	310	395
440	311	394
441	312	393
442	312	393
443	313	392
444	313	391
445	314	390
446	315	389
447	315	388
448	316	388
449	316	387
450	317	386
451	318	385
452	318	384
453	319	384
454	320	383
455	321	383
456	321	382
457	322	381
458	323	380
459	323	379
460	324	379
461	324	378
462	325	377
463	326	376
464	326	375
465	327	375
466	327	374
467	328	373
468	329	372
469	329	372
470	330	371
471	331	370
472	331	369
473	332	368
474	333	368
475	333	367
476	334	366
477	335	366
478	335	365
479	336	364
480	337	363
481	337	362
482	338	362
483	338	361
484	339	360
485	340	359
486	340	358
487	341	358
488	342	357
489	342	356
490	343	355
491	343	355
492	344	354
493	345	353
494	345	352
495	346	351
496	347	351
497	347	350
498	348	349
499	348	348
500	349	348
501	350	347
502	350	346
503	351	345
504	351	344
505	352	344
506	353	343
507	353	342
508	354	341
509	354	340
510	355	340
511	356	339
512	356	338
513	357	337
514	357	337
515	358	336
516	359	335
517	359	334
518	360	334
519	361	333
520	362	333
521	363	332
522	363	331
523	364	330
524	364	330
525	365	329
526	366	328
527	366	327
528	367	327
529	367	326
530	368	325
531	369	324
532	369	324
533	370	323
534	371	322
535	371	321
536	372	320
537	372	320
538	373	319
539	374	319
